Organizador,Ano_Mes,Dia_da_Semana,Tipo_Dia,Objetivo,Date,AdSet_name,Amount_spent,Link_clicks,Impressions,Conversions,Segmentação,Tipo_de_Anúncio,Fase
278,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_interesses_dados_v3,0.04,,5,,Interesses_Dados,Video,2º Lançamento | Leads
279,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_cargos_dados_v2,0.65,,45,,Cargos_Dados,Video,2º Lançamento | Leads
280,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_interesses_dados_v2,0.62,,11,,Interesses_Dados,Video,2º Lançamento | Leads
281,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_lal1_compradores_v2,0.27,,9,,LookALike_Compradores_1,Video,2º Lançamento | Leads
282,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v1,11.43,13,210,6,LookALike_Compradores_1,Video,2º Lançamento | Leads
283,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v1,6.83,7,234,6,Interesses_Dados,Video,2º Lançamento | Leads
284,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v1,0.17,,14,,Cargos_Dados,Video,2º Lançamento | Leads
285,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v2,0.09,,3,,Interesses_Dados,Video,2º Lançamento | Leads
286,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v2,0.51,,31,,Cargos_Dados,Video,2º Lançamento | Leads
287,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v2,0.04,,3,,LookALike_Compradores_1,Video,2º Lançamento | Leads
288,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v2,38.93,18,4606,13,Interesses_Dados,Estático,2º Lançamento | Leads
289,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v2,17.99,12,1919,5,Cargos_Dados,Estático,2º Lançamento | Leads
290,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v2,39.51,22,2072,12,LookALike_Compradores_1,Estático,2º Lançamento | Leads
291,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v1,18.38,10,2032,6,Cargos_Dados,Estático,2º Lançamento | Leads
292,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v1,32.33,21,3861,9,Interesses_Dados,Estático,2º Lançamento | Leads
293,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v1,28.09,16,1433,8,LookALike_Compradores_1,Estático,2º Lançamento | Leads
294,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v3,0.26,,14,,LookALike_Compradores_1,Video,2º Lançamento | Leads
295,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v3,18.45,15,1991,4,Cargos_Dados,Estático,2º Lançamento | Leads
296,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v3,0.00,,1,,Cargos_Dados,Video,2º Lançamento | Leads
297,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v3,39.28,16,4432,7,Interesses_Dados,Estático,2º Lançamento | Leads
298,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v3,0.04,,2,,Interesses_Dados,Video,2º Lançamento | Leads
299,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v3,38.98,29,1949,20,LookALike_Compradores_1,Estático,2º Lançamento | Leads
300,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v3,0.16,,3,,LookALike_Compradores_1,Video,2º Lançamento | Leads
301,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_cargos_dados_v2,0.03,,5,,Cargos_Dados,Video,2º Lançamento | Leads
302,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_interesses_dados_v2,0.51,,14,,Interesses_Dados,Video,2º Lançamento | Leads
303,2024 | Março,Domingo,Final de Semana,Leads,2024-03-03,topfunnel_lal1_compradores_v2,0.08,,2,,LookALike_Compradores_1,Video,2º Lançamento | Leads
304,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_estatico_v1,0.00,,0,,LookALike_Compradores_1,Estático,2º Lançamento | Leads
305,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v1,32.44,21,884,9,LookALike_Compradores_1,Video,2º Lançamento | Leads
306,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v1,31.15,22,1172,8,Interesses_Dados,Video,2º Lançamento | Leads
307,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v1,13.13,5,552,2,Cargos_Dados,Video,2º Lançamento | Leads
308,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v2,0.05,,2,,Interesses_Dados,Video,2º Lançamento | Leads
309,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v2,0.79,2,72,1,Cargos_Dados,Video,2º Lançamento | Leads
310,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v2,0.20,,3,,LookALike_Compradores_1,Video,2º Lançamento | Leads
311,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v2,10.81,8,1268,2,Interesses_Dados,Estático,2º Lançamento | Leads
312,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v2,4.69,,558,,Cargos_Dados,Estático,2º Lançamento | Leads
313,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v2,10.18,4,596,,LookALike_Compradores_1,Estático,2º Lançamento | Leads
314,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v1,5.24,4,456,3,Cargos_Dados,Estático,2º Lançamento | Leads
315,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v1,8.50,2,961,,Interesses_Dados,Estático,2º Lançamento | Leads
316,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v1,7.12,2,364,4,LookALike_Compradores_1,Estático,2º Lançamento | Leads
317,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v3,0.21,,10,,LookALike_Compradores_1,Video,2º Lançamento | Leads
318,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v3,4.97,1,550,3,Cargos_Dados,Estático,2º Lançamento | Leads
319,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v3,10.97,5,1206,4,Interesses_Dados,Estático,2º Lançamento | Leads
320,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v3,0.05,,2,,Interesses_Dados,Video,2º Lançamento | Leads
321,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v3,10.25,8,577,5,LookALike_Compradores_1,Estático,2º Lançamento | Leads
322,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v3,27.62,7,826,3,LookALike_Compradores_1,Video,2º Lançamento | Leads
323,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v3,12.68,3,594,1,Cargos_Dados,Video,2º Lançamento | Leads
324,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v3,27.92,5,1207,4,Interesses_Dados,Video,2º Lançamento | Leads
325,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_cargos_dados_v2,12.79,4,1178,3,Cargos_Dados,Video,2º Lançamento | Leads
326,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_interesses_dados_v2,26.71,2,1093,1,Interesses_Dados,Video,2º Lançamento | Leads
327,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_lal1_compradores_v2,26.45,7,794,2,LookALike_Compradores_1,Video,2º Lançamento | Leads
328,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_full_dados_estatico,23.43,12,2249,5,Full,Estático,2º Lançamento | Leads
329,2024 | Março,Segunda-Feira,Dia útil,Leads,2024-03-04,topfunnel_full_dados_estatico,2.47,,117,,Full,Estático,2º Lançamento | Leads
330,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_interesses_dados_estatico_v1,0.00,,0,1,Interesses_Dados,Estático,2º Lançamento | Leads
331,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_lal1_compradores_v1,38.96,13,1014,13,LookALike_Compradores_1,Video,2º Lançamento | Leads
332,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_interesses_dados_v1,37.98,15,1390,6,Interesses_Dados,Video,2º Lançamento | Leads
333,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_cargos_dados_v1,17.71,9,732,3,Cargos_Dados,Video,2º Lançamento | Leads
334,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_interesses_dados_v2,0.00,,0,,Interesses_Dados,Estático,2º Lançamento | Leads
335,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_lal1_compradores_v3,0.00,,0,1,LookALike_Compradores_1,Estático,2º Lançamento | Leads
336,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_lal1_compradores_v3,38.13,12,874,5,LookALike_Compradores_1,Video,2º Lançamento | Leads
337,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_cargos_dados_v3,18.43,3,483,3,Cargos_Dados,Video,2º Lançamento | Leads
338,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_interesses_dados_v3,38.20,9,1159,4,Interesses_Dados,Video,2º Lançamento | Leads
339,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_cargos_dados_v2,17.74,14,1557,9,Cargos_Dados,Video,2º Lançamento | Leads
340,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_interesses_dados_v2,38.53,7,1502,3,Interesses_Dados,Video,2º Lançamento | Leads
341,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_lal1_compradores_v2,39.21,13,1041,10,LookALike_Compradores_1,Video,2º Lançamento | Leads
342,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_full_dados_estatico,34.87,25,2862,16,Full,Estático,2º Lançamento | Leads
343,2024 | Março,Terça-Feira,Dia útil,Leads,2024-03-05,topfunnel_full_dados_estatico,0.60,,33,,Full,Estático,2º Lançamento | Leads
344,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_lal1_compradores_v1,36.87,24,1005,7,LookALike_Compradores_1,Video,2º Lançamento | Leads
345,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_interesses_dados_v1,37.61,17,1349,8,Interesses_Dados,Video,2º Lançamento | Leads
346,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_cargos_dados_v1,17.22,11,782,7,Cargos_Dados,Video,2º Lançamento | Leads
347,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_interesses_dados_v2,0.00,,0,,Interesses_Dados,Estático,2º Lançamento | Leads
348,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_lal1_compradores_v2,0.00,,0,1,LookALike_Compradores_1,Estático,2º Lançamento | Leads
349,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_lal1_compradores_v1,0.00,,0,,LookALike_Compradores_1,Estático,2º Lançamento | Leads
350,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_lal1_compradores_v3,0.00,,0,,LookALike_Compradores_1,Estático,2º Lançamento | Leads
351,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_lal1_compradores_v3,37.55,12,1001,7,LookALike_Compradores_1,Video,2º Lançamento | Leads
352,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_cargos_dados_v3,17.58,5,708,4,Cargos_Dados,Video,2º Lançamento | Leads
353,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_interesses_dados_v3,37.33,8,1346,5,Interesses_Dados,Video,2º Lançamento | Leads
354,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_cargos_dados_v2,17.11,11,1471,6,Cargos_Dados,Video,2º Lançamento | Leads
355,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_interesses_dados_v2,37.58,8,1507,3,Interesses_Dados,Video,2º Lançamento | Leads
356,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_lal1_compradores_v2,37.12,5,852,3,LookALike_Compradores_1,Video,2º Lançamento | Leads
357,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_full_dados_estatico,45.58,21,3888,8,Full,Estático,2º Lançamento | Leads
358,2024 | Março,Quarta-Feira,Dia útil,Leads,2024-03-06,topfunnel_full_dados_estatico,0.21,,14,,Full,Estático,2º Lançamento | Leads
359,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_lal1_compradores_v1,39.25,16,1011,11,LookALike_Compradores_1,Video,2º Lançamento | Leads
360,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_interesses_dados_v1,38.15,21,1430,11,Interesses_Dados,Video,2º Lançamento | Leads
361,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_cargos_dados_v1,21.58,9,817,4,Cargos_Dados,Video,2º Lançamento | Leads
362,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_lal1_compradores_v2,0.00,,0,1,LookALike_Compradores_1,Estático,2º Lançamento | Leads
363,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_lal1_compradores_v3,0.00,,0,,LookALike_Compradores_1,Estático,2º Lançamento | Leads
364,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_lal1_compradores_v3,20.22,3,511,3,LookALike_Compradores_1,Video,2º Lançamento | Leads
365,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_cargos_dados_v3,8.74,4,299,1,Cargos_Dados,Video,2º Lançamento | Leads
366,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_interesses_dados_v3,18.50,1,652,,Interesses_Dados,Video,2º Lançamento | Leads
367,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_cargos_dados_v2,9.81,3,781,5,Cargos_Dados,Video,2º Lançamento | Leads
368,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_interesses_dados_v2,21.60,6,807,4,Interesses_Dados,Video,2º Lançamento | Leads
369,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_lal1_compradores_v2,21.94,7,565,3,LookALike_Compradores_1,Video,2º Lançamento | Leads
370,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_full_dados_estatico,99.68,47,9039,19,Full,Estático,2º Lançamento | Leads
371,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_full_dados_estatico,0.55,,43,,Full,Estático,2º Lançamento | Leads
372,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_lal1_compradores_v4,19.96,3,423,1,LookALike_Compradores_1,Video,2º Lançamento | Leads
373,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_interesses_dados_v4,19.49,6,557,4,Interesses_Dados,Video,2º Lançamento | Leads
374,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_cargos_dados_v4,12.53,,290,,Cargos_Dados,Video,2º Lançamento | Leads
375,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_full_dados_estatico,6.27,3,360,2,Full,Estático,2º Lançamento | Leads
376,2024 | Março,Quinta-Feira,Dia útil,Leads,2024-03-07,topfunnel_full_dados_estatico,2.32,1,91,1,Full,Estático,2º Lançamento | Leads
377,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_lal1_compradores_v1,42.23,22,1136,12,LookALike_Compradores_1,Video,2º Lançamento | Leads
378,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_interesses_dados_v1,41.07,13,1714,9,Interesses_Dados,Video,2º Lançamento | Leads
379,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_cargos_dados_v1,26.99,7,1260,4,Cargos_Dados,Video,2º Lançamento | Leads
380,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_interesses_dados_v2,0.00,,0,,Interesses_Dados,Estático,2º Lançamento | Leads
381,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_interesses_dados_v3,0.00,,0,1,Interesses_Dados,Estático,2º Lançamento | Leads
382,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_lal1_compradores_v3,0.00,,0,,LookALike_Compradores_1,Video,2º Lançamento | Leads
383,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_cargos_dados_v2,0.00,,0,1,Cargos_Dados,Video,2º Lançamento | Leads
384,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_interesses_dados_v2,0.00,,0,1,Interesses_Dados,Video,2º Lançamento | Leads
385,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_full_dados_estatico,170.12,60,15096,36,Full,Estático,2º Lançamento | Leads
386,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_full_dados_estatico,0.87,1,64,,Full,Estático,2º Lançamento | Leads
387,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_lal1_compradores_v4,39.93,4,886,2,LookALike_Compradores_1,Video,2º Lançamento | Leads
388,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_interesses_dados_v4,39.56,12,1191,7,Interesses_Dados,Video,2º Lançamento | Leads
389,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_cargos_dados_v4,27.64,2,843,1,Cargos_Dados,Video,2º Lançamento | Leads
390,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_full_dados_estatico,7.23,3,443,1,Full,Estático,2º Lançamento | Leads
391,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-08,topfunnel_full_dados_estatico,5.52,1,265,,Full,Estático,2º Lançamento | Leads
392,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_lal1_compradores_v1,47.15,16,1381,6,LookALike_Compradores_1,Video,2º Lançamento | Leads
393,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_interesses_dados_v1,47.59,14,2145,8,Interesses_Dados,Video,2º Lançamento | Leads
394,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_cargos_dados_v1,31.73,12,1543,7,Cargos_Dados,Video,2º Lançamento | Leads
395,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_interesses_dados_v2,0.00,,0,,Interesses_Dados,Estático,2º Lançamento | Leads
396,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_lal1_compradores_v3,0.00,,0,,LookALike_Compradores_1,Video,2º Lançamento | Leads
397,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_interesses_dados_v2,0.00,,0,,Interesses_Dados,Video,2º Lançamento | Leads
398,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_full_dados_estatico,201.99,66,16179,35,Full,Estático,2º Lançamento | Leads
399,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_full_dados_estatico,1.42,,80,,Full,Estático,2º Lançamento | Leads
400,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_lal1_compradores_v4,13.05,4,252,2,LookALike_Compradores_1,Video,2º Lançamento | Leads
401,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_interesses_dados_v4,10.98,,272,,Interesses_Dados,Video,2º Lançamento | Leads
402,2024 | Março,Sábado,Final de Semana,Leads,2024-03-09,topfunnel_cargos_dados_v4,7.14,2,182,2,Cargos_Dados,Video,2º Lançamento | Leads
